Name,Sector,Instrument,Assets
ICICI Bank Ltd.,Financial,Equity,5.9%
HDFC Bank Ltd.,Financial,Equity,4.4%
Reliance Industries Ltd.,Energy,Equity,4.3%
Infosys Ltd.,Technology,Equity,3.8%
State Bank of India,Financial,Equity,3.1%
Larsen & Toubro Ltd.,Construction,Equity,2.5%
Canara Bank,Financial,Equity,2.5%
Axis Bank Ltd.,Financial,Equity,2.5%
Housing Development Finance Corporation Ltd.,Financial,Equity,2.0%
Varun Beverages Ltd.,Consumer Staples,Equity,1.9%
Ashok Leyland Ltd.,Automobile,Equity,1.8%
Bajaj Finserv Ltd.,Financial,Equity,1.7%
ABB India Ltd.,Capital Goods,Equity,1.6%
Bank Of Baroda,Financial,Equity,1.6%
Bharti Airtel Ltd.,Communication,Equity,1.6%
Mold-Tek Packaging Ltd.,Chemicals,Equity,1.6%
UNO Minda Ltd.,Automobile,Equity,1.6%
Sona BLW Precision Forgings Ltd.,Automobile,Equity,1.5%
Hindalco Industries Ltd.,Metals & Mining,Equity,1.5%
Indusind Bank Ltd.,Financial,Equity,1.5%
Container Corporation Of India Ltd.,Services,Equity,1.5%
Hindustan Unilever Ltd.,Consumer Staples,Equity,1.5%
Tata Consultancy Services Ltd.,Technology,Equity,1.4%
Dixon Technologies (India) Ltd.,Capital Goods,Equity,1.4%
Astral Ltd.,Chemicals,Equity,1.4%
Oberoi Realty Ltd.,Construction,Equity,1.4%
Max Financial Services Ltd.,Financial,Equity,1.3%
The Indian Hotels Company Ltd.,Services,Equity,1.3%
Crompton Greaves Consumer Electricals Ltd.,Consumer Discretionary,Equity,1.3%
Schaeffler India Ltd.,Capital Goods,Equity,1.3%
United Breweries Ltd.,Consumer Staples,Equity,1.3%
Bajaj Finance Ltd.,Financial,Equity,1.3%
Divi's Laboratories Ltd.,Healthcare,Equity,1.2%
Polycab India Ltd.,Capital Goods,Equity,1.2%
Sun Pharmaceutical Industries Ltd.,Healthcare,Equity,1.2%
Ultratech Cement Ltd.,Construction,Equity,1.2%
Cholamandalam Investment and Finance Company Ltd.,Financial,Equity,1.1%
TCI Express Ltd.,Services,Equity,1.1%
PI Industries Ltd.,Chemicals,Equity,1.1%
Navin Fluorine International Ltd.,Chemicals,Equity,1.1%
BEML Ltd.,Capital Goods,Equity,1.1%
Avenue Supermarts Ltd.,Services,Equity,1.1%
Maruti Suzuki India Ltd.,Automobile,Equity,1.0%
Tata Motors Ltd.,Automobile,Equity,1.0%
Jubilant FoodWorks Ltd.,Services,Equity,1.0%
Fortis Healthcare Ltd.,Healthcare,Equity,1.0%
Indraprastha Gas Ltd.,Energy,Equity,0.9%
Atul Ltd.,Chemicals,Equity,0.9%
Mphasis Ltd.,Technology,Equity,0.9%
Tube Investments Of India Ltd.,Automobile,Equity,0.9%
Tata Power Company Ltd.,Energy,Equity,0.9%
Shree Cement Ltd.,Construction,Equity,0.9%
Persistent Systems Ltd.,Technology,Equity,0.9%
Metro Brands Ltd.,Consumer Staples,Equity,0.9%
Titan Company Ltd.,Consumer Discretionary,Equity,0.9%
Cummins India Ltd.,Capital Goods,Equity,0.8%
Page Industries Ltd.,Textiles,Equity,0.7%
SRF Ltd.,Diversified,Equity,0.7%
Sundram Fasteners Ltd.,Capital Goods,Equity,0.6%
Relaxo Footwears Ltd.,Consumer Staples,Equity,0.6%
Cholamandalam Financial Holdings Ltd.,Financial,Equity,0.5%
Kajaria Ceramics Ltd.,Construction,Equity,0.4%
Triveni Turbine Ltd.,Capital Goods,Equity,0.4%
Voltas Ltd.,Consumer Discretionary,Equity,0.3%
FSN E-Commerce Ventures Ltd.,Services,Equity,0.3%
BEML Land Assets Ltd.,Services,Equity,0.2%
