Name,Sector,Instrument,Assets
Larsen & Toubro Ltd.,Construction,Equity,9.6%
Bharti Airtel Ltd.,Communication,Equity,6.6%
ICICI Bank Ltd.,Financial,Equity,6.4%
Reliance Industries Ltd.,Energy,Equity,6.2%
Ultratech Cement Ltd.,Construction,Equity,4.8%
NTPC Ltd.,Energy,Equity,3.7%
State Bank of India,Financial,Equity,3.2%
KSB Ltd.,Capital Goods,Equity,3.0%
Esab India Ltd.,Capital Goods,Equity,2.6%
Grindwell Norton Ltd.,Metals & Mining,Equity,2.5%
Container Corporation Of India Ltd.,Services,Equity,2.2%
PNC Infratech Ltd.,Construction,Equity,2.1%
ABB India Ltd.,Capital Goods,Equity,2.0%
Ashok Leyland Ltd.,Automobile,Equity,2.0%
Honeywell Automation India Ltd.,Capital Goods,Equity,2.0%
Power Grid Corporation Of India Ltd.,Energy,Equity,2.0%
Polycab India Ltd.,Capital Goods,Equity,1.8%
NCC Ltd.,Construction,Equity,1.7%
Adani Ports and Special Economic Zone Ltd.,Services,Equity,1.7%
Siemens Ltd.,Capital Goods,Equity,1.7%
Bharat Electronics Ltd.,Capital Goods,Equity,1.6%
Tata Power Company Ltd.,Energy,Equity,1.5%
JK Cement Ltd.,Construction,Equity,1.4%
Maruti Suzuki India Ltd.,Automobile,Equity,1.4%
APL Apollo Tubes Ltd.,Metals & Mining,Equity,1.3%
Triveni Turbine Ltd.,Capital Goods,Equity,1.3%
KNR Constructions Ltd.,Construction,Equity,1.3%
Shree Cement Ltd.,Construction,Equity,1.3%
Ambuja Cements Ltd.,Construction,Equity,1.3%
Kei Industries Ltd.,Capital Goods,Equity,1.2%
Schaeffler India Ltd.,Capital Goods,Equity,1.2%
GMM Pfaudler Ltd.,Capital Goods,Equity,1.2%
BEML Ltd.,Capital Goods,Equity,1.1%
Mahindra Logistics Ltd.,Services,Equity,1.0%
Brigade Enterprises Ltd.,Construction,Equity,1.0%
Oberoi Realty Ltd.,Construction,Equity,1.0%
Cummins India Ltd.,Capital Goods,Equity,1.0%
Bharat Petroleum Corporation Ltd.,Energy,Equity,0.9%
Hindalco Industries Ltd.,Metals & Mining,Equity,0.9%
Dalmia Bharat Ltd.,Construction,Equity,0.9%
Interglobe Aviation Ltd.,Services,Equity,0.9%
Prestige Estates Projects Ltd.,Construction,Equity,0.8%
Sona BLW Precision Forgings Ltd.,Automobile,Equity,0.8%
Greenpanel Industries Ltd.,Consumer Staples,Equity,0.8%
Cholamandalam Investment and Finance Company Ltd.,Financial,Equity,0.8%
Oil & Natural Gas Corporation Ltd.,Energy,Equity,0.7%
GR Infraprojects Ltd.,Construction,Equity,0.6%
Amber Enterprises India Ltd.,Consumer Discretionary,Equity,0.3%
BEML Land Assets Ltd.,Services,Equity,0.2%
