Name,Sector,Instrument,Assets
Reliance Industries Ltd.,Energy,Equity,5.8%
State Bank of India,Financial,Equity,5.3%
ICICI Bank Ltd.,Financial,Equity,4.7%
HDFC Bank Ltd.,Financial,Equity,4.7%
Axis Bank Ltd.,Financial,Equity,3.8%
Infosys Ltd.,Technology,Equity,3.8%
Hindustan Unilever Ltd.,Consumer Staples,Equity,2.9%
ICRA Ltd.,Services,Equity,2.4%
Suven Pharmaceuticals Ltd.,Healthcare,Equity,2.4%
Crompton Greaves Consumer Electricals Ltd.,Consumer Discretionary,Equity,2.2%
Bharti Airtel Ltd.,Communication,Equity,2.2%
SRF Ltd.,Diversified,Equity,2.1%
KSB Ltd.,Capital Goods,Equity,2.1%
3M India Ltd.,Diversified,Equity,2.1%
PI Industries Ltd.,Chemicals,Equity,2.0%
Canara Bank,Financial,Equity,2.0%
Ashok Leyland Ltd.,Automobile,Equity,2.0%
Brigade Enterprises Ltd.,Construction,Equity,1.9%
Maruti Suzuki India Ltd.,Automobile,Equity,1.8%
Schaeffler India Ltd.,Capital Goods,Equity,1.8%
Aavas Financiers Ltd.,Financial,Equity,1.7%
Kei Industries Ltd.,Capital Goods,Equity,1.6%
Tata Consultancy Services Ltd.,Technology,Equity,1.6%
United Breweries Ltd.,Consumer Staples,Equity,1.6%
Cholamandalam Investment and Finance Company Ltd.,Financial,Equity,1.5%
Metro Brands Ltd.,Consumer Staples,Equity,1.5%
Polycab India Ltd.,Capital Goods,Equity,1.5%
PNC Infratech Ltd.,Construction,Equity,1.4%
Computer Age Management Services Ltd.,Services,Equity,1.3%
Gland Pharma Ltd.,Healthcare,Equity,1.3%
Sona BLW Precision Forgings Ltd.,Automobile,Equity,1.2%
Navin Fluorine International Ltd.,Chemicals,Equity,1.2%
Greenpanel Industries Ltd.,Consumer Staples,Equity,1.2%
Fortis Healthcare Ltd.,Healthcare,Equity,1.2%
Bajaj Finserv Ltd.,Financial,Equity,1.2%
TCI Express Ltd.,Services,Equity,1.2%
ZF Commercial Vehicle Control Systems India Ltd.,Automobile,Equity,1.1%
JB Chemicals & Pharmaceuticals Ltd.,Healthcare,Equity,1.1%
Grindwell Norton Ltd.,Metals & Mining,Equity,1.1%
Page Industries Ltd.,Textiles,Equity,1.1%
Kajaria Ceramics Ltd.,Construction,Equity,1.1%
Blue Star Ltd.,Consumer Discretionary,Equity,1.0%
Avenue Supermarts Ltd.,Services,Equity,1.0%
Cyient Ltd.,Technology,Equity,0.9%
INOX Leisure Ltd.,Services,Equity,0.9%
Cholamandalam Financial Holdings Ltd.,Financial,Equity,0.8%
Persistent Systems Ltd.,Technology,Equity,0.8%
Birla Corporation Ltd.,Construction,Equity,0.8%
Amber Enterprises India Ltd.,Consumer Discretionary,Equity,0.8%
Hatsun Agro Product Ltd.,Consumer Staples,Equity,0.8%
Jubilant FoodWorks Ltd.,Services,Equity,0.8%
Anupam Rasayan India Ltd.,Chemicals,Equity,0.7%
JK Cement Ltd.,Construction,Equity,0.7%
APL Apollo Tubes Ltd.,Metals & Mining,Equity,0.5%
Neogen Chemicals Ltd.,Chemicals,Equity,0.5%
SBI Life Insurance Company Ltd.,Insurance,Equity,0.3%
Home First Finance Company India Ltd.,Financial,Equity,0.3%
Affle (India) Ltd.,Technology,Equity,0.3%
BEML Land Assets Ltd.,Services,Equity,0.2%
Astral Ltd.,Chemicals,Equity,0.2%
