Name,Sector,Instrument,Assets
ICICI Bank Ltd.,Financial,Equity,9.5%
HDFC Bank Ltd.,Financial,Equity,9.0%
Bharti Airtel Ltd.,Communication,Equity,7.2%
Housing Development Finance Corporation Ltd.,Financial,Equity,6.5%
Reliance Industries Ltd.,Energy,Equity,5.7%
Axis Bank Ltd.,Financial,Equity,4.0%
Apollo Hospitals Enterprise Ltd.,Healthcare,Equity,3.0%
Titan Company Ltd.,Consumer Discretionary,Equity,2.8%
SBI Life Insurance Company Ltd.,Insurance,Equity,2.8%
LTIMindtree Ltd.,Technology,Equity,2.5%
The Phoenix Mills Ltd.,Construction,Equity,2.4%
Zee Entertainment Enterprises Ltd.,Services,Equity,2.3%
Westlife Foodworld Ltd,Services,Equity,2.2%
Indraprastha Gas Ltd.,Energy,Equity,2.0%
Container Corporation Of India Ltd.,Services,Equity,1.9%
Page Industries Ltd.,Textiles,Equity,1.6%
INOX Leisure Ltd.,Services,Equity,1.5%
Multi Commodity Exchange Of India Ltd.,Services,Equity,1.5%
Fortis Healthcare Ltd.,Healthcare,Equity,1.5%
Persistent Systems Ltd.,Technology,Equity,1.4%
Cholamandalam Financial Holdings Ltd.,Financial,Equity,1.4%
Home First Finance Company India Ltd.,Financial,Equity,1.4%
Affle (India) Ltd.,Technology,Equity,1.3%
Sapphire Foods India Ltd.,Services,Equity,1.3%
Equitas Holdings Ltd.,Financial,Equity,1.2%
ICICI Lombard General Insurance Company Ltd.,Insurance,Equity,1.0%
Dreamfolks Services Ltd.,Services,Equity,1.0%
Angel One Ltd.,Financial,Equity,1.0%
UTI Asset Management Company Ltd.,Financial,Equity,1.0%
SIS Ltd.,Services,Equity,1.0%
Cholamandalam Investment and Finance Company Ltd.,Financial,Equity,0.9%
Info Edge (India) Ltd.,Services,Equity,0.9%
PVR Ltd.,Services,Equity,0.8%
HDFC Life Insurance Co Ltd.,Insurance,Equity,0.8%
AU Small Finance Bank Ltd.,Financial,Equity,0.8%
Transport Corporation Of India Ltd.,Services,Equity,0.8%
CSB Bank Ltd.,Financial,Equity,0.7%
Global Health Ltd.,Healthcare,Equity,0.7%
Metropolis Healthcare Ltd.,Healthcare,Equity,0.7%
CE Info Systems Ltd.,Technology,Equity,0.7%
Kotak Mahindra Bank Ltd.,Financial,Equity,0.6%
MakeMy Trip Ltd.,Services,Forgn. Eq,0.4%
Quess Corp Ltd.,Financial,Equity,0.4%
Bajaj Finance Ltd.,Financial,Equity,0.3%
Bajaj Finserv Ltd.,Financial,Equity,0.2%
Bharti Airtel Ltd. - (Partly Paid up Equity Shares (Rights Issue)),Communication,PPE,0.2%
