Name,Sector,Instrument,Assets
ICICI Bank Ltd.,Financial,Equity,7.9%
HDFC Bank Ltd.,Financial,Equity,6.8%
Reliance Industries Ltd.,Energy,Equity,5.1%
Infosys Ltd.,Technology,Equity,5.0%
State Bank of India,Financial,Equity,5.0%
Housing Development Finance Corporation Ltd.,Financial,Equity,4.2%
Axis Bank Ltd.,Financial,Equity,4.0%
Ashok Leyland Ltd.,Automobile,Equity,3.4%
Tata Consultancy Services Ltd.,Technology,Equity,3.1%
Polycab India Ltd.,Capital Goods,Equity,2.9%
Maruti Suzuki India Ltd.,Automobile,Equity,2.4%
Larsen & Toubro Ltd.,Construction,Equity,2.3%
Grindwell Norton Ltd.,Metals & Mining,Equity,2.3%
Jubilant FoodWorks Ltd.,Services,Equity,2.1%
Sun Pharmaceutical Industries Ltd.,Healthcare,Equity,1.9%
Hindustan Unilever Ltd.,Consumer Staples,Equity,1.9%
Bharti Airtel Ltd.,Communication,Equity,1.8%
Bajaj Finserv Ltd.,Financial,Equity,1.8%
ICRA Ltd.,Services,Equity,1.8%
Canara Bank,Financial,Equity,1.7%
Cholamandalam Investment and Finance Company Ltd.,Financial,Equity,1.7%
Crompton Greaves Consumer Electricals Ltd.,Consumer Discretionary,Equity,1.6%
ABB India Ltd.,Capital Goods,Equity,1.6%
Max Financial Services Ltd.,Financial,Equity,1.6%
Ultratech Cement Ltd.,Construction,Equity,1.5%
The Federal Bank Ltd.,Financial,Equity,1.5%
Avenue Supermarts Ltd.,Services,Equity,1.2%
Tata Motors Ltd.,Automobile,Equity,1.2%
Navin Fluorine International Ltd.,Chemicals,Equity,1.1%
Oberoi Realty Ltd.,Construction,Equity,1.1%
Bank Of Baroda,Financial,Equity,1.1%
BEML Ltd.,Capital Goods,Equity,1.1%
Interglobe Aviation Ltd.,Services,Equity,1.1%
Page Industries Ltd.,Textiles,Equity,1.0%
Sona BLW Precision Forgings Ltd.,Automobile,Equity,1.0%
Varun Beverages Ltd.,Consumer Staples,Equity,0.9%
ICICI Lombard General Insurance Company Ltd.,Insurance,Equity,0.9%
Computer Age Management Services Ltd.,Services,Equity,0.9%
Clean Science And Technology Ltd.,Chemicals,Equity,0.9%
Zydus Wellness Ltd.,Consumer Staples,Equity,0.8%
Coforge Ltd.,Technology,Equity,0.8%
Schaeffler India Ltd.,Capital Goods,Equity,0.7%
United Spirits Ltd.,Consumer Staples,Equity,0.7%
Jindal Steel & Power Ltd.,Metals & Mining,Equity,0.7%
CE Info Systems Ltd.,Technology,Equity,0.6%
Gland Pharma Ltd.,Healthcare,Equity,0.6%
Indusind Bank Ltd.,Financial,Equity,0.6%
SBI Life Insurance Company Ltd.,Insurance,Equity,0.5%
Fortis Healthcare Ltd.,Healthcare,Equity,0.5%
Sapphire Foods India Ltd.,Services,Equity,0.5%
Can Fin Homes Ltd.,Financial,Equity,0.4%
Wipro Ltd.,Technology,Equity,0.4%
Cipla Ltd.,Healthcare,Equity,0.4%
Dixon Technologies (India) Ltd.,Capital Goods,Equity,0.3%
Voltas Ltd.,Consumer Discretionary,Equity,0.2%
BEML Land Assets Ltd.,Services,Equity,0.2%
Vedant Fashions Ltd.,Services,Equity,0.1%
