Name,Sector,Instrument,Assets
ICICI Bank Ltd.,Financial,Equity,13.0%
HDFC Bank Ltd.,Financial,Equity,12.6%
Axis Bank Ltd.,Financial,Equity,9.2%
Housing Development Finance Corporation Ltd.,Financial,Equity,8.0%
State Bank of India,Financial,Equity,7.5%
Kotak Mahindra Bank Ltd.,Financial,Equity,5.2%
Karur Vysya Bank Ltd.,Financial,Equity,3.8%
RBL Bank Ltd.,Financial,Equity,3.7%
IDFC First Bank Ltd.,Financial,Equity,3.1%
PNB Housing Finance Ltd.,Financial,Equity,2.7%
Indian Bank,Financial,Equity,2.6%
DCB Bank Ltd.,Financial,Equity,2.6%
Indusind Bank Ltd.,Financial,Equity,2.5%
SBI Cards And Payment Services Ltd.,Financial,Equity,2.4%
Equitas Small Finance Bank Ltd.,Financial,Equity,2.1%
Spandana Sphoorty Financial Ltd.,Financial,Equity,2.0%
SBI Life Insurance Company Ltd.,Insurance,Equity,2.0%
HDFC Life Insurance Co Ltd.,Insurance,Equity,2.0%
The Federal Bank Ltd.,Financial,Equity,1.9%
ICICI Lombard General Insurance Company Ltd.,Insurance,Equity,1.9%
UTI Asset Management Company Ltd.,Financial,Equity,1.7%
360 One Wam Ltd,Financial,Equity,1.2%
Cholamandalam Financial Holdings Ltd.,Financial,Equity,1.1%
Max Financial Services Ltd.,Financial,Equity,0.9%
Fino Payments Bank Ltd.,Financial,Equity,0.8%
Piramal Enterprises Ltd.,Healthcare,Equity,0.5%
Piramal Pharma Ltd.,Healthcare,Equity,0.3%
