Name,Sector,Instrument,Assets
ICICI Bank Ltd.,Financial,Equity,5.3%
Reliance Industries Ltd.,Energy,Equity,5.2%
State Bank of India,Financial,Equity,4.1%
Larsen & Toubro Ltd.,Construction,Equity,3.9%
Axis Bank Ltd.,Financial,Equity,3.4%
HDFC Bank Ltd.,Financial,Equity,3.2%
Bharti Airtel Ltd.,Communication,Equity,3.1%
Bharat Forge Ltd.,Automobile,Equity,2.7%
The Federal Bank Ltd.,Financial,Equity,2.7%
NTPC Ltd.,Energy,Equity,2.6%
Bank Of Baroda,Financial,Equity,2.6%
Bharat Heavy Electricals Ltd.,Capital Goods,Equity,2.6%
Sun Pharmaceutical Industries Ltd.,Healthcare,Equity,2.6%
Cipla Ltd.,Healthcare,Equity,2.5%
Tata Consultancy Services Ltd.,Technology,Equity,2.4%
Infosys Ltd.,Technology,Equity,2.4%
AIA Engineering Ltd.,Metals & Mining,Equity,2.3%
DCB Bank Ltd.,Financial,Equity,2.2%
Hindalco Industries Ltd.,Metals & Mining,Equity,2.2%
DLF Ltd. - (DLF),Construction,Equity,2.0%
Ashok Leyland Ltd.,Automobile,Equity,2.0%
ACC Ltd.,Construction,Equity,1.9%
Power Grid Corporation Of India Ltd.,Energy,Equity,1.9%
Brigade Enterprises Ltd.,Construction,Equity,1.9%
Housing Development Finance Corporation Ltd.,Financial,Equity,1.8%
Eicher Motors Ltd.,Automobile,Equity,1.8%
Macrotech Developers Ltd.,Construction,Equity,1.7%
Apollo Hospitals Enterprise Ltd.,Healthcare,Equity,1.7%
Grasim Industries Ltd.,Construction,Equity,1.7%
RBL Bank Ltd.,Financial,Equity,1.6%
Cummins India Ltd.,Capital Goods,Equity,1.5%
Thermax Ltd.,Capital Goods,Equity,1.5%
IDFC Ltd.,Financial,Equity,1.3%
HCL Technologies Ltd.,Technology,Equity,1.3%
Kirloskar Pneumatic Company Ltd.,Capital Goods,Equity,1.3%
Bharti Airtel Ltd. - (Partly Paid up Equity Shares (Rights Issue)),Communication,PPE,1.3%
Zee Entertainment Enterprises Ltd.,Services,Equity,1.2%
KEC International Ltd.,Capital Goods,Equity,1.1%
PNB Housing Finance Ltd.,Financial,Equity,1.1%
Aditya Birla Fashion and Retail Ltd.,Services,Equity,1.1%
LIC Housing Finance Ltd.,Financial,Equity,1.1%
Hindustan Aeronautics Ltd.,Capital Goods,Equity,1.0%
Linde India Ltd.,Chemicals,Equity,1.0%
Interglobe Aviation Ltd.,Services,Equity,1.0%
The Ramco Cements Ltd.,Construction,Equity,1.0%
Sumitomo Chemical India Ltd.,Chemicals,Equity,1.0%
GAIL (India) Ltd.,Energy,Equity,0.5%
