Name,Sector,Instrument,Assets
ICICI Bank Ltd.,Financial,Equity,6.2%
Tata Consultancy Services Ltd.,Technology,Equity,5.4%
State Bank of India,Financial,Equity,5.1%
Infosys Ltd.,Technology,Equity,5.0%
Bharat Electronics Ltd.,Capital Goods,Equity,4.8%
Larsen & Toubro Ltd.,Construction,Equity,4.1%
Hindustan Unilever Ltd.,Consumer Staples,Equity,3.7%
ACC Ltd.,Construction,Equity,3.6%
ITC Ltd.,Consumer Staples,Equity,2.8%
Indusind Bank Ltd.,Financial,Equity,2.6%
Hindalco Industries Ltd.,Metals & Mining,Equity,2.6%
Nestle India Ltd.,Consumer Staples,Equity,2.5%
Power Grid Corporation Of India Ltd.,Energy,Equity,2.4%
RBL Bank Ltd.,Financial,Equity,2.3%
Tata Power Company Ltd.,Energy,Equity,2.3%
Polycab India Ltd.,Capital Goods,Equity,2.2%
Radico Khaitan Ltd.,Consumer Staples,Equity,1.8%
Axis Bank Ltd.,Financial,Equity,1.8%
Navin Fluorine International Ltd.,Chemicals,Equity,1.8%
Reliance Industries Ltd.,Energy,Equity,1.8%
Fortis Healthcare Ltd.,Healthcare,Equity,1.8%
Torrent Power Ltd.,Energy,Equity,1.7%
Sundram Fasteners Ltd.,Capital Goods,Equity,1.7%
PI Industries Ltd.,Chemicals,Equity,1.5%
DLF Ltd. - (DLF),Construction,Equity,1.4%
Thermax Ltd.,Capital Goods,Equity,1.4%
HDFC Bank Ltd.,Financial,Equity,1.4%
Apollo Hospitals Enterprise Ltd.,Healthcare,Equity,1.4%
NTPC Ltd.,Energy,Equity,1.2%
Eicher Motors Ltd.,Automobile,Equity,1.2%
Zee Entertainment Enterprises Ltd.,Services,Equity,1.2%
The Federal Bank Ltd.,Financial,Equity,1.1%
Hindustan Aeronautics Ltd.,Capital Goods,Equity,1.1%
Balrampur Chini Mills Ltd.,Consumer Staples,Equity,1.1%
Central Depository Services (India) Ltd.,Financial,Equity,1.1%
Cyient Ltd.,Technology,Equity,1.1%
CreditAccess Grameen Ltd.,Financial,Equity,1.1%
Cholamandalam Investment and Finance Company Ltd.,Financial,Equity,1.1%
Coal India Ltd.,Energy,Equity,1.1%
The Indian Hotels Company Ltd.,Services,Equity,1.0%
Coromandel International Ltd.,Chemicals,Equity,1.0%
Tata Elxsi Ltd.,Technology,Equity,1.0%
Vedanta Ltd.,Metals & Mining,Equity,1.0%
PNB Housing Finance Ltd.,Financial,Equity,1.0%
Adani Ports and Special Economic Zone Ltd.,Services,Equity,0.9%
Cummins India Ltd.,Capital Goods,Equity,0.8%
Life Insurance Corporation of India,Insurance,Equity,0.8%
Kaynes Technology India Ltd.,Capital Goods,Equity,0.7%
Indian Bank,Financial,Equity,0.5%
