Name,Sector,Instrument,Assets
HDFC Bank Ltd.,Financial,Equity,8.4%
ICICI Bank Ltd.,Financial,Equity,7.4%
ITC Ltd.,Consumer Staples,Equity,5.6%
Reliance Industries Ltd.,Energy,Equity,5.3%
Housing Development Finance Corporation Ltd.,Financial,Equity,4.9%
Axis Bank Ltd.,Financial,Equity,4.8%
Hindustan Aeronautics Ltd.,Capital Goods,Equity,4.2%
Power Grid Corporation Of India Ltd.,Energy,Equity,3.9%
ACC Ltd.,Construction,Equity,3.2%
Grasim Industries Ltd.,Construction,Equity,3.1%
Hero Motocorp Ltd.,Automobile,Equity,2.8%
Radico Khaitan Ltd.,Consumer Staples,Equity,2.8%
Coal India Ltd.,Energy,Equity,2.7%
NTPC Ltd.,Energy,Equity,2.4%
HCL Technologies Ltd.,Technology,Equity,2.4%
UTI Asset Management Company Ltd.,Financial,Equity,2.4%
Greenpanel Industries Ltd.,Consumer Staples,Equity,2.3%
Escorts Kubota Ltd.,Automobile,Equity,2.0%
Indusind Bank Ltd.,Financial,Equity,2.0%
Mahindra & Mahindra Ltd.,Automobile,Equity,2.0%
ICICI Securities Ltd.,Financial,Equity,2.0%
Bajaj Auto Ltd.,Automobile,Equity,2.0%
The Federal Bank Ltd.,Financial,Equity,1.9%
Sun TV Network Ltd.,Services,Equity,1.6%
PNB Housing Finance Ltd.,Financial,Equity,1.6%
Oracle Financial Services Software Ltd.,Technology,Equity,1.5%
Adani Ports and Special Economic Zone Ltd.,Services,Equity,1.4%
IDFC Ltd.,Financial,Equity,1.3%
IDFC First Bank Ltd.,Financial,Equity,1.3%
State Bank of India,Financial,Equity,1.1%
Balrampur Chini Mills Ltd.,Consumer Staples,Equity,1.1%
Cholamandalam Financial Holdings Ltd.,Financial,Equity,1.1%
Jubilant FoodWorks Ltd.,Services,Equity,1.0%
DCM Shriram Ltd.,Diversified,Equity,0.9%
Engineers India Ltd.,Construction,Equity,0.8%
Paradeep Phosphates Ltd.,Chemicals,Equity,0.6%
Archean Chemical Industries Ltd.,Chemicals,Equity,0.1%
