Name,Sector,Instrument,Assets
HDFC Bank Ltd.,Financial,Equity,9.7%
ICICI Bank Ltd.,Financial,Equity,7.5%
Reliance Industries Ltd.,Energy,Equity,5.4%
ITC Ltd.,Consumer Staples,Equity,4.2%
SBI Cards And Payment Services Ltd.,Financial,Equity,3.4%
Ambuja Cements Ltd.,Construction,Equity,2.8%
Axis Bank Ltd.,Financial,Equity,2.6%
Jubilant FoodWorks Ltd.,Services,Equity,2.3%
Solar Industries India Ltd.,Chemicals,Equity,2.3%
Cera Sanitaryware Ltd.,Construction,Equity,2.2%
Sundram Fasteners Ltd.,Capital Goods,Equity,2.1%
HDFC Life Insurance Co Ltd.,Insurance,Equity,2.1%
Karur Vysya Bank Ltd.,Financial,Equity,2.1%
United Spirits Ltd.,Consumer Staples,Equity,2.0%
APL Apollo Tubes Ltd.,Metals & Mining,Equity,2.0%
HDFC Asset Management Company Ltd.,Financial,Equity,1.9%
Zee Entertainment Enterprises Ltd.,Services,Equity,1.9%
Adani Ports and Special Economic Zone Ltd.,Services,Equity,1.9%
Polycab India Ltd.,Capital Goods,Equity,1.9%
Eicher Motors Ltd.,Automobile,Equity,1.8%
3M India Ltd.,Diversified,Equity,1.7%
Bharat Dynamics Ltd.,Capital Goods,Equity,1.6%
Havells India Ltd.,Capital Goods,Equity,1.6%
Titan Company Ltd.,Consumer Discretionary,Equity,1.5%
Kotak Mahindra Bank Ltd.,Financial,Equity,1.5%
Greenpanel Industries Ltd.,Consumer Staples,Equity,1.5%
Tata Consumer Products Ltd.,Consumer Staples,Equity,1.5%
SBI Life Insurance Company Ltd.,Insurance,Equity,1.5%
RBL Bank Ltd.,Financial,Equity,1.3%
UTI Asset Management Company Ltd.,Financial,Equity,1.3%
Siemens Ltd.,Capital Goods,Equity,1.3%
Kirloskar Pneumatic Company Ltd.,Capital Goods,Equity,1.2%
Craftsman Automation Ltd.,Automobile,Equity,1.2%
Westlife Foodworld Ltd,Services,Equity,1.2%
Century Plyboards (India) Ltd.,Consumer Staples,Equity,1.2%
ACC Ltd.,Construction,Equity,1.1%
Indusind Bank Ltd.,Financial,Equity,1.1%
Tata Consultancy Services Ltd.,Technology,Equity,1.1%
Astral Ltd.,Chemicals,Equity,1.1%
Escorts Kubota Ltd.,Automobile,Equity,1.1%
Hitachi Energy India Ltd.,Capital Goods,Equity,1.0%
Radico Khaitan Ltd.,Consumer Staples,Equity,1.0%
Avenue Supermarts Ltd.,Services,Equity,1.0%
Matrimony.Com Ltd.,Services,Equity,1.0%
ICICI Prudential Life Insurance Company Ltd.,Insurance,Equity,1.0%
Procter & Gamble Health Ltd.,Healthcare,Equity,0.9%
Grindwell Norton Ltd.,Metals & Mining,Equity,0.8%
Metro Brands Ltd.,Consumer Staples,Equity,0.6%
Somany Ceramics Ltd.,Construction,Equity,0.4%
