Name,Sector,Instrument,Assets
Sun Pharmaceutical Industries Ltd.,Healthcare,Equity,18.5%
Cipla Ltd.,Healthcare,Equity,12.6%
Lupin Ltd. - (Preference Shares),Healthcare,Equity,7.4%
Dr. Reddy's Laboratories Ltd.,Healthcare,Equity,7.1%
Alkem Laboratories Ltd.,Healthcare,Equity,6.0%
Divi's Laboratories Ltd.,Healthcare,Equity,5.4%
Fortis Healthcare Ltd.,Healthcare,Equity,5.3%
Ipca Laboratories Ltd.,Healthcare,Equity,5.2%
Apollo Hospitals Enterprise Ltd.,Healthcare,Equity,3.1%
Healthcare Global Enterprises Ltd.,Healthcare,Equity,3.0%
FDC Ltd.,Healthcare,Equity,2.5%
Krishna Institute of Medical Sciences Ltd,Healthcare,Equity,2.2%
Indoco Remedies Ltd.,Healthcare,Equity,2.2%
Aurobindo Pharma Ltd.,Healthcare,Equity,2.2%
Abbott India Ltd.,Healthcare,Equity,2.1%
Procter & Gamble Health Ltd.,Healthcare,Equity,2.0%
Zydus Lifesciences Ltd.,Healthcare,Equity,1.5%
Narayana Hrudayalaya Ltd.,Healthcare,Equity,1.5%
Gland Pharma Ltd.,Healthcare,Equity,1.5%
Glenmark Pharmaceuticals Ltd.,Healthcare,Equity,1.4%
Ajanta Pharma Ltd.,Healthcare,Equity,1.4%
Aster DM Healthcare Ltd.,Healthcare,Equity,1.3%
Torrent Pharmaceuticals Ltd.,Healthcare,Equity,1.1%
Glaxosmithkline Pharmaceuticals Ltd.,Healthcare,Equity,0.8%
Sanofi India Ltd.,Healthcare,Equity,0.6%
JB Chemicals & Pharmaceuticals Ltd.,Healthcare,Equity,0.6%
