Name,Sector,Instrument,Assets
Larsen & Toubro Ltd.,Construction,Equity,8.5%
NTPC Ltd.,Energy,Equity,4.2%
ACC Ltd.,Construction,Equity,3.8%
Grindwell Norton Ltd.,Metals & Mining,Equity,3.3%
Siemens Ltd.,Capital Goods,Equity,3.3%
Cummins India Ltd.,Capital Goods,Equity,3.2%
Astral Ltd.,Chemicals,Equity,3.2%
DLF Ltd. - (DLF),Construction,Equity,3.1%
Adani Ports and Special Economic Zone Ltd.,Services,Equity,3.0%
KNR Constructions Ltd.,Construction,Equity,2.8%
Grasim Industries Ltd.,Construction,Equity,2.8%
Timken India Ltd.,Capital Goods,Equity,2.8%
Schaeffler India Ltd.,Capital Goods,Equity,2.7%
Ultratech Cement Ltd.,Construction,Equity,2.6%
ABB India Ltd.,Capital Goods,Equity,2.6%
AIA Engineering Ltd.,Metals & Mining,Equity,2.4%
Thermax Ltd.,Capital Goods,Equity,2.4%
Reliance Industries Ltd.,Energy,Equity,2.3%
Honeywell Automation India Ltd.,Capital Goods,Equity,2.3%
KSB Ltd.,Capital Goods,Equity,2.3%
Torrent Power Ltd.,Energy,Equity,2.2%
Tata Power Company Ltd.,Energy,Equity,2.1%
Bharat Heavy Electricals Ltd.,Capital Goods,Equity,2.0%
3M India Ltd.,Diversified,Equity,1.9%
The Phoenix Mills Ltd.,Construction,Equity,1.9%
KEC International Ltd.,Capital Goods,Equity,1.8%
Kajaria Ceramics Ltd.,Construction,Equity,1.7%
Gujarat Pipavav Port Ltd.,Services,Equity,1.6%
Power Grid Corporation Of India Ltd.,Energy,Equity,1.6%
Oberoi Realty Ltd.,Construction,Equity,1.5%
Ambuja Cements Ltd.,Construction,Equity,1.5%
Voltamp Transformers Ltd.,Capital Goods,Equity,1.3%
Data Patterns (India) Ltd.,Capital Goods,Equity,1.2%
Gujarat Gas Ltd.,Energy,Equity,1.2%
Century Textiles & Industries Ltd.,Consumer Staples,Equity,1.1%
Linde India Ltd.,Chemicals,Equity,1.1%
Ingersoll-Rand (India) Ltd.,Capital Goods,Equity,1.1%
The Ramco Cements Ltd.,Construction,Equity,1.0%
Indus Towers Ltd.,Communication,Equity,0.9%
Hitachi Energy India Ltd.,Capital Goods,Equity,0.9%
Indian Railway Catering And Tourism Corporation Ltd.,Services,Equity,0.9%
Powergrid Infrastructure Investment Trust Eq,Services,InvITs,0.9%
PNC Infratech Ltd.,Construction,Equity,0.9%
Transport Corporation Of India Ltd.,Services,Equity,0.9%
Tega Industries Ltd.,Metals & Mining,Equity,0.8%
