Name,Sector,Instrument,Assets
ICICI Bank Ltd.,Financial,Equity,6.3%
HDFC Bank Ltd.,Financial,Equity,6.2%
Reliance Industries Ltd.,Energy,Equity,5.9%
Infosys Ltd.,Technology,Equity,5.7%
Housing Development Finance Corporation Ltd.,Financial,Equity,4.7%
Axis Bank Ltd.,Financial,Equity,4.5%
State Bank of India,Financial,Equity,3.7%
Tata Consultancy Services Ltd.,Technology,Equity,3.4%
Larsen & Toubro Ltd.,Construction,Equity,3.2%
Bharti Airtel Ltd.,Communication,Equity,2.8%
RBL Bank Ltd.,Financial,Equity,2.4%
Avenue Supermarts Ltd.,Services,Equity,1.9%
Kotak Mahindra Bank Ltd.,Financial,Equity,1.8%
Sun Pharmaceutical Industries Ltd.,Healthcare,Equity,1.8%
ITC Ltd.,Consumer Staples,Equity,1.6%
Adani Ports and Special Economic Zone Ltd.,Services,Equity,1.6%
Cipla Ltd.,Healthcare,Equity,1.5%
HDFC Asset Management Company Ltd.,Financial,Equity,1.5%
Grasim Industries Ltd.,Construction,Equity,1.5%
NTPC Ltd.,Energy,Equity,1.5%
ICICI Lombard General Insurance Company Ltd.,Insurance,Equity,1.5%
Hindustan Unilever Ltd.,Consumer Staples,Equity,1.5%
Ambuja Cements Ltd.,Construction,Equity,1.4%
Havells India Ltd.,Capital Goods,Equity,1.4%
Siemens Ltd.,Capital Goods,Equity,1.4%
Power Grid Corporation Of India Ltd.,Energy,Equity,1.4%
Cummins India Ltd.,Capital Goods,Equity,1.3%
Honeywell Automation India Ltd.,Capital Goods,Equity,1.3%
Dabur India Ltd.,Consumer Staples,Equity,1.3%
Cyient Ltd.,Technology,Equity,1.3%
Bajaj Auto Ltd.,Automobile,Equity,1.2%
Tata Motors Ltd.,Automobile,Equity,1.2%
Kajaria Ceramics Ltd.,Construction,Equity,1.2%
Eicher Motors Ltd.,Automobile,Equity,1.2%
Godrej Consumer Products Ltd.,Consumer Staples,Equity,1.2%
DLF Ltd. - (DLF),Construction,Equity,1.1%
Tata Power Company Ltd.,Energy,Equity,1.1%
Wipro Ltd.,Technology,Equity,1.1%
SBI Life Insurance Company Ltd.,Insurance,Equity,1.1%
JB Chemicals & Pharmaceuticals Ltd.,Healthcare,Equity,1.0%
HCL Technologies Ltd.,Technology,Equity,0.9%
Asian Paints Ltd.,Chemicals,Equity,0.9%
Colgate-Palmolive (India) Ltd.,Consumer Staples,Equity,0.9%
Voltas Ltd.,Consumer Discretionary,Equity,0.9%
Endurance Technologies Ltd.,Automobile,Equity,0.8%
Polycab India Ltd.,Capital Goods,Equity,0.8%
Ajanta Pharma Ltd.,Healthcare,Equity,0.6%
Ipca Laboratories Ltd.,Healthcare,Equity,0.6%
UPL Ltd.,Chemicals,Equity,0.6%
Fino Payments Bank Ltd.,Financial,Equity,0.3%
