Name,Sector,Instrument,Assets
The Federal Bank Ltd.,Financial,Equity,9.8%
TVS Motor Company Ltd.,Automobile,Equity,8.1%
ICICI Bank Ltd.,Financial,Equity,7.3%
Indusind Bank Ltd.,Financial,Equity,7.0%
Bank Of Baroda,Financial,Equity,5.7%
Tube Investments Of India Ltd.,Automobile,Equity,5.4%
Mahindra & Mahindra Ltd.,Automobile,Equity,5.2%
Ashok Leyland Ltd.,Automobile,Equity,4.6%
Cummins India Ltd.,Capital Goods,Equity,4.5%
Colgate-Palmolive (India) Ltd.,Consumer Staples,Equity,4.2%
LIC Housing Finance Ltd.,Financial,Equity,3.7%
Petronet LNG Ltd.,Energy,Equity,3.1%
HDFC Bank Ltd.,Financial,Equity,3.1%
Union Bank of India,Financial,Equity,3.0%
Housing Development Finance Corporation Ltd.,Financial,Equity,3.0%
Axis Bank Ltd.,Financial,Equity,2.5%
Dr. Reddy's Laboratories Ltd.,Healthcare,Equity,2.3%
Sun TV Network Ltd.,Services,Equity,1.9%
Page Industries Ltd.,Textiles,Equity,1.8%
Cholamandalam Investment and Finance Company Ltd.,Financial,Equity,1.6%
Biocon Ltd.,Healthcare,Equity,1.3%
Eicher Motors Ltd.,Automobile,Equity,1.1%
Yes Bank Ltd.,Financial,Equity,1.0%
Kotak Mahindra Bank Ltd.,Financial,Equity,0.8%
General Insurance Corporation of India,Insurance,Equity,0.8%
Bajaj Auto Ltd.,Automobile,Equity,0.5%
L&T Finance Holdings Ltd.,Financial,Equity,0.4%
Aurobindo Pharma Ltd.,Healthcare,Equity,0.4%
Bayer CropScience Ltd.,Chemicals,Equity,0.3%
