Name,Sector,Instrument,Assets
Jindal Stainless Ltd.,Metals & Mining,Equity,6.5%
Ambuja Cements Ltd.,Construction,Equity,6.4%
NTPC Ltd.,Energy,Equity,6.2%
Reliance Industries Ltd.,Energy,Equity,5.5%
Ultratech Cement Ltd.,Construction,Equity,4.1%
Grasim Industries Ltd.,Construction,Equity,4.0%
SRF Ltd.,Diversified,Equity,4.0%
Tata Steel Ltd.,Metals & Mining,Equity,4.0%
PI Industries Ltd.,Chemicals,Equity,3.7%
Hindalco Industries Ltd.,Metals & Mining,Equity,3.7%
Chambal Fertilisers and Chemicals Ltd.,Chemicals,Equity,3.6%
Jindal Steel & Power Ltd.,Metals & Mining,Equity,3.4%
UPL Ltd.,Chemicals,Equity,3.3%
ACC Ltd.,Construction,Equity,3.3%
Coal India Ltd.,Energy,Equity,3.1%
Paradeep Phosphates Ltd.,Chemicals,Equity,3.1%
Hindustan Petroleum Corporation Ltd.,Energy,Equity,2.7%
Tata Power Company Ltd.,Energy,Equity,2.7%
Astec Lifesciences Ltd.,Chemicals,Equity,2.3%
Deepak Nitrite Ltd.,Chemicals,Equity,2.2%
Vedanta Ltd.,Metals & Mining,Equity,2.2%
Torrent Power Ltd.,Energy,Equity,2.1%
Navin Fluorine International Ltd.,Chemicals,Equity,2.1%
APL Apollo Tubes Ltd.,Metals & Mining,Equity,2.0%
Sharda Cropchem Ltd.,Chemicals,Equity,1.9%
Bharat Petroleum Corporation Ltd.,Energy,Equity,1.9%
Sumitomo Chemical India Ltd.,Chemicals,Equity,1.9%
Coromandel International Ltd.,Chemicals,Equity,1.6%
Balrampur Chini Mills Ltd.,Consumer Staples,Equity,1.5%
The Ramco Cements Ltd.,Construction,Equity,1.2%
Chemcon Speciality Chemicals Ltd.,Chemicals,Equity,1.2%
CCL Products (India) Ltd.,Consumer Staples,Equity,1.0%
Birla Corporation Ltd.,Construction,Equity,1.0%
