Name,Sector,Instrument,Assets
IDFC Ltd.,Financial,Equity,4.3%
DCB Bank Ltd.,Financial,Equity,4.1%
Redington Ltd.,Services,Equity,4.1%
Allcargo Logistics Ltd.,Services,Equity,4.0%
BASF India Ltd.,Chemicals,Equity,3.8%
Honda India Power Products Ltd.,Capital Goods,Equity,3.2%
UTI Asset Management Company Ltd.,Financial,Equity,3.2%
Kirloskar Pneumatic Company Ltd.,Capital Goods,Equity,3.1%
Gujarat Pipavav Port Ltd.,Services,Equity,3.0%
Agro Tech Foods Ltd.,Consumer Staples,Equity,2.9%
Elantas Beck India Ltd.,Chemicals,Equity,2.5%
Tube Investments Of India Ltd.,Automobile,Equity,2.4%
Carborundum Universal Ltd.,Metals & Mining,Equity,2.2%
Krsnaa Diagnostics Ltd.,Healthcare,Equity,2.2%
Greenply Industries Ltd.,Consumer Staples,Equity,2.2%
Mahindra CIE Automotive Ltd.,Metals & Mining,Equity,2.2%
Hikal Ltd.,Healthcare,Equity,2.0%
Akzo Nobel India Ltd.,Chemicals,Equity,2.0%
Radico Khaitan Ltd.,Consumer Staples,Equity,1.9%
Healthcare Global Enterprises Ltd.,Healthcare,Equity,1.8%
Quess Corp Ltd.,Financial,Equity,1.7%
KSB Ltd.,Capital Goods,Equity,1.6%
Gokaldas Exports Ltd.,Textiles,Equity,1.6%
Finolex Cables Ltd.,Capital Goods,Equity,1.6%
Shoppers Stop Ltd.,Services,Equity,1.5%
Keystone Realtors Ltd,Construction,Equity,1.5%
Rallis India Ltd.,Chemicals,Equity,1.5%
Vesuvius India Ltd.,Construction,Equity,1.4%
Devyani International Ltd.,Services,Equity,1.4%
TD Power Systems Ltd.,Capital Goods,Equity,1.4%
Cera Sanitaryware Ltd.,Construction,Equity,1.2%
Ganesha Ecosphere Ltd.,Textiles,Equity,1.2%
NCC Ltd.,Construction,Equity,1.2%
Transport Corporation Of India Ltd.,Services,Equity,1.1%
Gujarat State Petronet Ltd.,Energy,Equity,1.0%
Fine Organic Industries Ltd.,Chemicals,Equity,1.0%
Eveready Industries India Ltd.,Consumer Staples,Equity,0.9%
Finolex Industries Ltd.,Chemicals,Equity,0.9%
Craftsman Automation Ltd.,Automobile,Equity,0.9%
Ramco Industries Ltd.,Construction,Equity,0.8%
MM Forgings Ltd.,Metals & Mining,Equity,0.8%
SH Kelkar And Company Ltd.,Chemicals,Equity,0.8%
Kirloskar Ferrous Industries Ltd.,Metals & Mining,Equity,0.6%
Powergrid Infrastructure Investment Trust Eq,Services,InvITs,0.4%
VST Industries Ltd.,Consumer Staples,Equity,0.4%
CE Info Systems Ltd.,Technology,Equity,0.1%
Entertainment Network (India) Ltd.,Services,Equity,0.1%
