Name,Sector,Instrument,Assets
Macrotech Developers Ltd.,Construction,Equity,6.9%
Adani Enterprises Ltd.,Services,Equity,6.1%
Kotak Mahindra Bank Ltd.,Financial,Equity,6.0%
Vedanta Ltd.,Metals & Mining,Equity,5.8%
Adani Ports and Special Economic Zone Ltd.,Services,Equity,5.4%
Pidilite Industries Ltd.,Chemicals,Equity,5.3%
Siemens Ltd.,Capital Goods,Equity,5.1%
ICICI Bank Ltd.,Financial,Equity,5.0%
Havells India Ltd.,Capital Goods,Equity,5.0%
DLF Ltd. - (DLF),Construction,Equity,4.7%
SRF Ltd.,Diversified,Equity,4.7%
Mahindra & Mahindra Ltd.,Automobile,Equity,4.2%
UPL Ltd.,Chemicals,Equity,4.0%
Kajaria Ceramics Ltd.,Construction,Equity,3.9%
Titan Company Ltd.,Consumer Discretionary,Equity,3.2%
Hindalco Industries Ltd.,Metals & Mining,Equity,3.1%
Dr. Reddy's Laboratories Ltd.,Healthcare,Equity,3.0%
Astral Ltd.,Chemicals,Equity,2.6%
Indusind Bank Ltd.,Financial,Equity,2.5%
Prestige Estates Projects Ltd.,Construction,Equity,2.1%
Ambuja Cements Ltd.,Construction,Equity,2.0%
Blue Star Ltd.,Consumer Discretionary,Equity,1.7%
LTIMindtree Ltd.,Technology,Equity,1.5%
Crisil Ltd.,Services,Equity,1.4%
TTK Prestige Ltd.,Consumer Discretionary,Equity,1.3%
ACC Ltd.,Construction,Equity,1.0%
Jubilant Ingrevia Ltd.,Chemicals,Equity,0.9%
Apollo Pipes Ltd.,Chemicals,Equity,0.6%
