Name,Sector,Instrument,Assets
Ami Organics Ltd.,Healthcare,Equity,6.4%
Sterlite Technologies Ltd.,Communication,Equity,4.6%
Century Textiles & Industries Ltd.,Consumer Staples,Equity,4.5%
Aditya Birla Fashion and Retail Ltd.,Services,Equity,4.4%
Caplin Point Laboratories Ltd.,Healthcare,Equity,4.2%
The Federal Bank Ltd.,Financial,Equity,3.8%
Punjab National Bank,Financial,Equity,3.6%
Astral Ltd.,Chemicals,Equity,3.5%
Dalmia Bharat Ltd.,Construction,Equity,3.5%
Mayur Uniquoters Ltd.,Textiles,Equity,3.5%
Union Bank of India,Financial,Equity,3.4%
Sun TV Network Ltd.,Services,Equity,3.3%
Balkrishna Industries Ltd.,Automobile,Equity,3.2%
Sumitomo Chemical India Ltd.,Chemicals,Equity,3.1%
K.P.R. Mill Ltd.,Textiles,Equity,3.1%
Hindustan Oil Exploration Company Ltd.,Energy,Equity,3.0%
Linde India Ltd.,Chemicals,Equity,3.0%
Bharat Heavy Electricals Ltd.,Capital Goods,Equity,2.9%
Coforge Ltd.,Technology,Equity,2.9%
Persistent Systems Ltd.,Technology,Equity,2.8%
Crompton Greaves Consumer Electricals Ltd.,Consumer Discretionary,Equity,2.6%
Cummins India Ltd.,Capital Goods,Equity,2.6%
Bharat Forge Ltd.,Automobile,Equity,2.4%
Kansai Nerolac Paints Ltd.,Chemicals,Equity,2.2%
Trent Ltd.,Services,Equity,2.0%
Bosch Ltd.,Automobile,Equity,1.9%
Sundaram Finance Ltd.,Financial,Equity,1.9%
Hindware Home Innovation Ltd.,Construction,Equity,1.9%
Hariom Pipe Industries Ltd.,Metals & Mining,Equity,1.9%
Welspun Corp Ltd.,Metals & Mining,Equity,1.8%
HDFC Bank Ltd.,Financial,Equity,1.4%
Endurance Technologies Ltd.,Automobile,Equity,1.2%
The Indian Hotels Company Ltd.,Services,Equity,1.1%
Kajaria Ceramics Ltd.,Construction,Equity,1.0%
Dr. Lal Pathlabs Ltd.,Healthcare,Equity,0.8%
Jubilant FoodWorks Ltd.,Services,Equity,0.2%
