Name,Sector,Instrument,Assets
Reliance Industries Ltd.,Energy,Equity,6.0%
Larsen & Toubro Ltd.,Construction,Equity,5.8%
Axis Bank Ltd.,Financial,Equity,5.0%
Ambuja Cements Ltd.,Construction,Equity,4.3%
Adani Ports and Special Economic Zone Ltd.,Services,Equity,4.3%
The Federal Bank Ltd.,Financial,Equity,3.4%
Maruti Suzuki India Ltd.,Automobile,Equity,3.3%
DLF Ltd. - (DLF),Construction,Equity,3.3%
Tata Steel Ltd.,Metals & Mining,Equity,3.0%
Blue Star Ltd.,Consumer Discretionary,Equity,2.9%
Sundram Fasteners Ltd.,Capital Goods,Equity,2.9%
Bharat Forge Ltd.,Automobile,Equity,2.7%
IRB Infrastructure Developers Ltd.,Construction,Equity,2.7%
Polycab India Ltd.,Capital Goods,Equity,2.5%
Bharti Airtel Ltd.,Communication,Equity,2.5%
Hindalco Industries Ltd.,Metals & Mining,Equity,2.4%
PCBL Ltd.,Chemicals,Equity,2.4%
SRF Ltd.,Diversified,Equity,2.4%
NTPC Ltd.,Energy,Equity,2.3%
Prestige Estates Projects Ltd.,Construction,Equity,2.3%
Apollo Pipes Ltd.,Chemicals,Equity,2.2%
Astral Ltd.,Chemicals,Equity,2.0%
Praj Industries Ltd.,Capital Goods,Equity,2.0%
Indusind Bank Ltd.,Financial,Equity,2.0%
Ceat Ltd.,Automobile,Equity,2.0%
Linde India Ltd.,Chemicals,Equity,1.9%
Century Textiles & Industries Ltd.,Consumer Staples,Equity,1.9%
Bank Of Baroda,Financial,Equity,1.9%
Cummins India Ltd.,Capital Goods,Equity,1.8%
Thermax Ltd.,Capital Goods,Equity,1.8%
Eicher Motors Ltd.,Automobile,Equity,1.6%
Welspun Corp Ltd.,Metals & Mining,Equity,1.5%
Siemens Ltd.,Capital Goods,Equity,1.5%
Kotak Mahindra Bank Ltd.,Financial,Equity,1.4%
Sterlite Technologies Ltd.,Communication,Equity,1.2%
Automotive Axles Ltd.,Automobile,Equity,1.1%
Elgi Equipments Ltd.,Capital Goods,Equity,1.1%
Mahindra & Mahindra Ltd.,Automobile,Equity,1.0%
Cholamandalam Investment and Finance Company Ltd.,Financial,Equity,1.0%
Lemon Tree Hotels Ltd.,Services,Equity,1.0%
