Name,Sector,Instrument,Assets
Max Healthcare Institute Ltd.,Healthcare,Equity,3.2%
Varun Beverages Ltd.,Consumer Staples,Equity,3.1%
PI Industries Ltd.,Chemicals,Equity,3.1%
Tube Investments Of India Ltd.,Automobile,Equity,3.0%
Devyani International Ltd.,Services,Equity,2.9%
Polycab India Ltd.,Capital Goods,Equity,2.9%
Dixon Technologies (India) Ltd.,Capital Goods,Equity,2.9%
Motherson Sumi Wiring India Ltd.,Automobile,Equity,2.7%
Escorts Kubota Ltd.,Automobile,Equity,2.6%
City Union Bank Ltd.,Financial,Equity,2.6%
Schaeffler India Ltd.,Capital Goods,Equity,2.5%
UNO Minda Ltd.,Automobile,Equity,2.4%
Cholamandalam Investment and Finance Company Ltd.,Financial,Equity,2.3%
Abbott India Ltd.,Healthcare,Equity,2.3%
Prestige Estates Projects Ltd.,Construction,Equity,2.1%
Sumitomo Chemical India Ltd.,Chemicals,Equity,2.0%
The Phoenix Mills Ltd.,Construction,Equity,2.0%
Navin Fluorine International Ltd.,Chemicals,Equity,1.8%
ZF Commercial Vehicle Control Systems India Ltd.,Automobile,Equity,1.8%
United Breweries Ltd.,Consumer Staples,Equity,1.7%
Vinati Organics Ltd.,Chemicals,Equity,1.7%
CreditAccess Grameen Ltd.,Financial,Equity,1.6%
Crompton Greaves Consumer Electricals Ltd.,Consumer Discretionary,Equity,1.6%
Vedant Fashions Ltd.,Services,Equity,1.6%
Star Health and Allied Insurance Company Ltd.,Insurance,Equity,1.6%
Interglobe Aviation Ltd.,Services,Equity,1.5%
Deepak Nitrite Ltd.,Chemicals,Equity,1.4%
Coromandel International Ltd.,Chemicals,Equity,1.4%
Max Financial Services Ltd.,Financial,Equity,1.4%
Coforge Ltd.,Technology,Equity,1.3%
Bharat Electronics Ltd.,Capital Goods,Equity,1.3%
TVS Motor Company Ltd.,Automobile,Equity,1.3%
Krishna Institute of Medical Sciences Ltd,Healthcare,Equity,1.3%
JB Chemicals & Pharmaceuticals Ltd.,Healthcare,Equity,1.2%
Page Industries Ltd.,Textiles,Equity,1.2%
Computer Age Management Services Ltd.,Services,Equity,1.2%
Aavas Financiers Ltd.,Financial,Equity,1.2%
Gujarat Gas Ltd.,Energy,Equity,1.2%
Honeywell Automation India Ltd.,Capital Goods,Equity,1.1%
Tatva Chintan Pharma Chem Ltd.,Chemicals,Equity,1.1%
PVR Ltd.,Services,Equity,1.1%
Persistent Systems Ltd.,Technology,Equity,1.0%
ABB India Ltd.,Capital Goods,Equity,1.0%
Carborundum Universal Ltd.,Metals & Mining,Equity,1.0%
Syngene International Ltd.,Healthcare,Equity,1.0%
Westlife Foodworld Ltd,Services,Equity,1.0%
LTIMindtree Ltd.,Technology,Equity,1.0%
Muthoot Finance Ltd.,Financial,Equity,1.0%
HDFC Bank Ltd.,Financial,Equity,1.0%
State Bank of India,Financial,Equity,1.0%
L&T Technology Services Ltd.,Technology,Equity,1.0%
Indiamart Intermesh Ltd.,Services,Equity,0.9%
3M India Ltd.,Diversified,Equity,0.9%
Praj Industries Ltd.,Capital Goods,Equity,0.9%
PB Fintech Ltd.,Services,Equity,0.9%
Astral Ltd.,Chemicals,Equity,0.8%
360 One Wam Ltd,Financial,Equity,0.7%
Solar Industries India Ltd.,Chemicals,Equity,0.7%
The Ramco Cements Ltd.,Construction,Equity,0.7%
