Name,Sector,Instrument,Assets
ICICI Bank Ltd.,Financial,Equity,5.1%
HDFC Bank Ltd.,Financial,Equity,4.7%
State Bank of India,Financial,Equity,3.6%
Infosys Ltd.,Technology,Equity,3.3%
Reliance Industries Ltd.,Energy,Equity,3.2%
Bharti Airtel Ltd.,Communication,Equity,2.3%
Devyani International Ltd.,Services,Equity,1.9%
Escorts Kubota Ltd.,Automobile,Equity,1.9%
Sumitomo Chemical India Ltd.,Chemicals,Equity,1.9%
City Union Bank Ltd.,Financial,Equity,1.9%
JB Chemicals & Pharmaceuticals Ltd.,Healthcare,Equity,1.8%
Axis Bank Ltd.,Financial,Equity,1.8%
UNO Minda Ltd.,Automobile,Equity,1.8%
Larsen & Toubro Ltd.,Construction,Equity,1.7%
CreditAccess Grameen Ltd.,Financial,Equity,1.7%
Cera Sanitaryware Ltd.,Construction,Equity,1.6%
Tatva Chintan Pharma Chem Ltd.,Chemicals,Equity,1.6%
Tube Investments Of India Ltd.,Automobile,Equity,1.5%
Neogen Chemicals Ltd.,Chemicals,Equity,1.4%
Bajaj Finance Ltd.,Financial,Equity,1.4%
Schaeffler India Ltd.,Capital Goods,Equity,1.4%
Ultratech Cement Ltd.,Construction,Equity,1.4%
Ami Organics Ltd.,Healthcare,Equity,1.4%
PI Industries Ltd.,Chemicals,Equity,1.4%
Hindustan Unilever Ltd.,Consumer Staples,Equity,1.4%
KNR Constructions Ltd.,Construction,Equity,1.2%
Data Patterns (India) Ltd.,Capital Goods,Equity,1.2%
Saregama India Ltd.,Services,Equity,1.2%
Polycab India Ltd.,Capital Goods,Equity,1.2%
Krishna Institute of Medical Sciences Ltd,Healthcare,Equity,1.2%
Eureka Forbes Ltd.,Metals & Mining,Equity,1.2%
MTAR Technologies Ltd.,Capital Goods,Equity,1.2%
Safari Industries (India) Ltd.,Chemicals,Equity,1.2%
Persistent Systems Ltd.,Technology,Equity,1.2%
Navin Fluorine International Ltd.,Chemicals,Equity,1.1%
Bharat Electronics Ltd.,Capital Goods,Equity,1.1%
V-Mart Retail Ltd.,Services,Equity,1.1%
Dixon Technologies (India) Ltd.,Capital Goods,Equity,1.1%
Max Healthcare Institute Ltd.,Healthcare,Equity,1.1%
United Spirits Ltd.,Consumer Staples,Equity,1.1%
Nestle India Ltd.,Consumer Staples,Equity,1.1%
Mahindra & Mahindra Ltd.,Automobile,Equity,1.1%
ABB India Ltd.,Capital Goods,Equity,1.1%
PB Fintech Ltd.,Services,Equity,1.1%
Happiest Minds Technologies Ltd.,Technology,Equity,1.0%
Maruti Suzuki India Ltd.,Automobile,Equity,1.0%
Abbott India Ltd.,Healthcare,Equity,1.0%
Indiamart Intermesh Ltd.,Services,Equity,1.0%
Sun Pharmaceutical Industries Ltd.,Healthcare,Equity,0.9%
Vedant Fashions Ltd.,Services,Equity,0.9%
SBI Life Insurance Company Ltd.,Insurance,Equity,0.9%
NTPC Ltd.,Energy,Equity,0.9%
Star Health and Allied Insurance Company Ltd.,Insurance,Equity,0.9%
Tata Motors Ltd.,Automobile,Equity,0.9%
Go Fashion (India) Ltd.,Services,Equity,0.8%
Bikaji Foods International Ltd.,Consumer Staples,Equity,0.8%
LTIMindtree Ltd.,Technology,Equity,0.7%
Eicher Motors Ltd.,Automobile,Equity,0.7%
United Breweries Ltd.,Consumer Staples,Equity,0.7%
ZF Commercial Vehicle Control Systems India Ltd.,Automobile,Equity,0.7%
Varun Beverages Ltd.,Consumer Staples,Equity,0.7%
L&T Technology Services Ltd.,Technology,Equity,0.7%
Hindalco Industries Ltd.,Metals & Mining,Equity,0.5%
The Phoenix Mills Ltd.,Construction,Equity,0.5%
Cholamandalam Investment and Finance Company Ltd.,Financial,Equity,0.5%
Cipla Ltd.,Healthcare,Equity,0.5%
Kotak Mahindra Bank Ltd.,Financial,Equity,0.5%
Life Insurance Corporation of India,Insurance,Equity,0.5%
Gujarat Gas Ltd.,Energy,Equity,0.4%
