Name,Sector,Instrument,Assets
Infosys Ltd.,Technology,Equity,8.8%
ICICI Bank Ltd.,Financial,Equity,6.5%
Axis Bank Ltd.,Financial,Equity,5.2%
ITC Ltd.,FMCG,Equity,4.9%
Cipla Ltd.,Healthcare,Equity,4.9%
Eicher Motors Ltd.,Automobile,Equity,4.3%
ICICI Prudential Life Insurance Company Ltd.,Financial,Equity,4.2%
Bharti Airtel Ltd.,Communication,Equity,4.1%
Sun Pharmaceutical Inds. Ltd.,Healthcare,Equity,3.8%
PI Industries Ltd.,Chemicals,Equity,3.1%
Multi Commodity Exchange India,Financial,Equity,3.0%
National Thermal Power Corp. Ltd.,Energy,Equity,3.0%
Crompton Greaves Consumer Electricals Ltd.,Cons Durable,Equity,3.0%
Ipca Laboratories Ltd.,Healthcare,Equity,2.5%
Motherson Sumi Systems Ltd.,Automobile,Equity,2.0%
Torrent Pharmaceuticals Ltd.,Healthcare,Equity,2.0%
Gujarat Gas Ltd.,Chemicals,Equity,2.0%
Aditya Birla Fashion and Retail Ltd.,Services,Equity,2.0%
Nippon Life India Asset Management Ltd.,Financial,Equity,1.7%
Coromandel International Ltd.,Chemicals,Equity,1.4%
Apollo Hospitals Enterprise Ltd.,Healthcare,Equity,1.0%
Emami Ltd.,FMCG,Equity,1.0%
Container Corpn. Of India Ltd.,Services,Equity,0.9%
