Name,Sector,Instrument,Assets
Maruti Suzuki India Ltd.,Automobile,Equity,8.1%
Nestle India Ltd.,Consumer Staples,Equity,7.1%
Hindustan Unilever Ltd.,Consumer Staples,Equity,7.0%
Honeywell Automation India Ltd.,Capital Goods,Equity,5.1%
Schaeffler India Ltd.,Capital Goods,Equity,5.0%
Mphasis Ltd.,Technology,Equity,4.9%
United Spirits Ltd.,Consumer Staples,Equity,4.7%
Britannia Industries Ltd.,Consumer Staples,Equity,4.4%
United Breweries Ltd.,Consumer Staples,Equity,4.0%
SKF India Ltd.,Capital Goods,Equity,4.0%
Procter & Gamble Hygiene and Health Care Ltd.,Consumer Staples,Equity,3.9%
Grindwell Norton Ltd.,Metals & Mining,Equity,3.8%
Cummins India Ltd.,Capital Goods,Equity,3.5%
Abbott India Ltd.,Healthcare,Equity,3.2%
Siemens Ltd.,Capital Goods,Equity,3.0%
Whirlpool Of India Ltd.,Consumer Discretionary,Equity,2.9%
Bosch Ltd.,Automobile,Equity,2.5%
Escorts Kubota Ltd.,Automobile,Equity,2.2%
Bayer CropScience Ltd.,Chemicals,Equity,2.2%
Crisil Ltd.,Services,Equity,2.0%
Gland Pharma Ltd.,Healthcare,Equity,2.0%
3M India Ltd.,Diversified,Equity,1.9%
Sanofi India Ltd.,Healthcare,Equity,1.9%
HDFC Asset Management Company Ltd.,Financial,Equity,1.8%
Oracle Financial Services Software Ltd.,Technology,Equity,1.7%
Timken India Ltd.,Capital Goods,Equity,1.6%
ICICI Prudential Life Insurance Company Ltd.,Insurance,Equity,0.9%
Nippon Life India Asset Management Ltd.,Financial,Equity,0.8%
Mahindra CIE Automotive Ltd.,Metals & Mining,Equity,0.8%
Procter & Gamble Health Ltd.,Healthcare,Equity,0.5%
Fortis Healthcare Ltd.,Healthcare,Equity,0.5%
Gillette India Ltd.,Consumer Staples,Equity,0.5%
Akzo Nobel India Ltd.,Chemicals,Equity,0.5%
Huhtamaki India Ltd.,Chemicals,Equity,0.2%
Reserve Bank of India,Financial,T-Bills,0.2%
GE T&D India Ltd.,Capital Goods,Equity,0.1%
