Name,Sector,Instrument,Assets
HDFC Bank Ltd.,Financial,Equity,9.6%
ICICI Bank Ltd.,Financial,Equity,7.0%
Infosys Ltd.,Technology,Equity,6.4%
Axis Bank Ltd.,Financial,Equity,5.2%
Bharti Airtel Ltd.,Communication,Equity,3.7%
State Bank of India,Financial,Equity,3.5%
Hindalco Industries Ltd.,Metals & Mining,Equity,2.4%
Indusind Bank Ltd.,Financial,Equity,2.2%
Aditya Birla Fashion and Retail Ltd.,Services,Equity,2.1%
Bajaj Auto Ltd.,Automobile,Equity,2.1%
Maruti Suzuki India Ltd.,Automobile,Equity,2.0%
Tata Steel Ltd.,Metals & Mining,Equity,2.0%
Eicher Motors Ltd.,Automobile,Equity,2.0%
Cipla Ltd.,Healthcare,Equity,1.9%
Samvardhana Motherson International Ltd.,Automobile,Equity,1.6%
Godrej Consumer Products Ltd.,Consumer Staples,Equity,1.6%
Sun Pharmaceutical Industries Ltd.,Healthcare,Equity,1.5%
Tech Mahindra Ltd.,Technology,Equity,1.5%
Ajanta Pharma Ltd.,Healthcare,Equity,1.4%
ICICI Lombard General Insurance Company Ltd.,Insurance,Equity,1.4%
AIA Engineering Ltd.,Metals & Mining,Equity,1.4%
Mphasis Ltd.,Technology,Equity,1.3%
Shree Cement Ltd.,Construction,Equity,1.3%
Fortis Healthcare Ltd.,Healthcare,Equity,1.3%
Jubilant FoodWorks Ltd.,Services,Equity,1.2%
Suven Pharmaceuticals Ltd.,Healthcare,Equity,1.2%
Bharat Petroleum Corporation Ltd.,Energy,Equity,1.2%
Crompton Greaves Consumer Electricals Ltd.,Consumer Discretionary,Equity,1.2%
Multi Commodity Exchange Of India Ltd.,Services,Equity,1.2%
The Phoenix Mills Ltd.,Construction,Equity,1.2%
Supreme Industries Ltd.,Chemicals,Equity,1.2%
Marico Ltd.,Consumer Staples,Equity,1.2%
Bharat Forge Ltd.,Automobile,Equity,1.1%
Housing Development Finance Corporation Ltd.,Financial,Equity,1.1%
Brigade Enterprises Ltd.,Construction,Equity,1.1%
Kajaria Ceramics Ltd.,Construction,Equity,1.1%
CESC Ltd.,Energy,Equity,1.1%
ICICI Prudential Life Insurance Company Ltd.,Insurance,Equity,1.1%
Coromandel International Ltd.,Chemicals,Equity,1.1%
Dalmia Bharat Ltd.,Construction,Equity,1.1%
VIP Industries Ltd.,Chemicals,Equity,1.0%
LTIMindtree Ltd.,Technology,Equity,1.0%
Gujarat Gas Ltd.,Energy,Equity,1.0%
Symphony Ltd.,Consumer Discretionary,Equity,1.0%
GR Infraprojects Ltd.,Construction,Equity,1.0%
Eris Lifesciences Ltd.,Healthcare,Equity,1.0%
Metropolis Healthcare Ltd.,Healthcare,Equity,0.9%
Apollo Tyres Ltd.,Automobile,Equity,0.9%
Cholamandalam Investment and Finance Company Ltd.,Financial,Equity,0.9%
Oberoi Realty Ltd.,Construction,Equity,0.8%
Can Fin Homes Ltd.,Financial,Equity,0.7%
TeamLease Services Ltd.,Services,Equity,0.6%
Heritage Foods Ltd.,Consumer Staples,Equity,0.6%
Bharat Electronics Ltd.,Capital Goods,Equity,0.6%
Chalet Hotels Ltd.,Services,Equity,0.5%
Zomato Ltd.,Services,Equity,0.4%
Bharti Airtel Ltd. - (Partly Paid up Equity Shares (Rights Issue)),Communication,PPE,0.2%
Reserve Bank of India,Financial,T-Bills,0.1%
