Name,Sector,Instrument,Assets
Karur Vysya Bank Ltd.,Financial,Equity,2.9%
Tube Investments Of India Ltd.,Automobile,Equity,2.5%
Timken India Ltd.,Capital Goods,Equity,2.2%
Brigade Enterprises Ltd.,Construction,Equity,2.1%
Carborundum Universal Ltd.,Metals & Mining,Equity,1.9%
CreditAccess Grameen Ltd.,Financial,Equity,1.9%
VIP Industries Ltd.,Chemicals,Equity,1.9%
Computer Age Management Services Ltd.,Services,Equity,1.8%
Chalet Hotels Ltd.,Services,Equity,1.7%
RHI Magnesita India Ltd.,Construction,Equity,1.7%
Suven Pharmaceuticals Ltd.,Healthcare,Equity,1.7%
City Union Bank Ltd.,Financial,Equity,1.7%
360 One Wam Ltd,Financial,Equity,1.7%
JB Chemicals & Pharmaceuticals Ltd.,Healthcare,Equity,1.6%
Cera Sanitaryware Ltd.,Construction,Equity,1.6%
APL Apollo Tubes Ltd.,Metals & Mining,Equity,1.6%
Krishna Institute of Medical Sciences Ltd,Healthcare,Equity,1.6%
Metro Brands Ltd.,Consumer Staples,Equity,1.6%
KEC International Ltd.,Capital Goods,Equity,1.6%
Can Fin Homes Ltd.,Financial,Equity,1.6%
Greenpanel Industries Ltd.,Consumer Staples,Equity,1.6%
MTAR Technologies Ltd.,Capital Goods,Equity,1.5%
Cholamandalam Financial Holdings Ltd.,Financial,Equity,1.5%
TeamLease Services Ltd.,Services,Equity,1.5%
Praj Industries Ltd.,Capital Goods,Equity,1.5%
La Opala RG Ltd.,Construction,Equity,1.4%
KPIT Technologies Ltd.,Technology,Equity,1.4%
Prince Pipes and Fittings Ltd.,Chemicals,Equity,1.4%
KNR Constructions Ltd.,Construction,Equity,1.4%
eClerx Services Ltd.,Services,Equity,1.4%
Navin Fluorine International Ltd.,Chemicals,Equity,1.4%
Narayana Hrudayalaya Ltd.,Healthcare,Equity,1.3%
Asahi India Glass Ltd.,Construction,Equity,1.3%
Affle (India) Ltd.,Technology,Equity,1.3%
Coforge Ltd.,Technology,Equity,1.3%
JK Cement Ltd.,Construction,Equity,1.3%
Persistent Systems Ltd.,Technology,Equity,1.2%
Ratnamani Metals & Tubes Ltd.,Metals & Mining,Equity,1.2%
Firstsource Solutions Ltd.,Services,Equity,1.2%
Techno Electric & Engineering Company Ltd.,Capital Goods,Equity,1.2%
Indoco Remedies Ltd.,Healthcare,Equity,1.2%
Equitas Small Finance Bank Ltd.,Financial,Equity,1.1%
Fine Organic Industries Ltd.,Chemicals,Equity,1.1%
V-Mart Retail Ltd.,Services,Equity,1.1%
Mahindra Logistics Ltd.,Services,Equity,1.1%
DCB Bank Ltd.,Financial,Equity,1.1%
Vardhman Textiles Ltd.,Textiles,Equity,1.1%
Jamna Auto Industries Ltd.,Automobile,Equity,1.0%
Eris Lifesciences Ltd.,Healthcare,Equity,1.0%
Indiamart Intermesh Ltd.,Services,Equity,1.0%
Dixon Technologies (India) Ltd.,Capital Goods,Equity,1.0%
Orient Electric Ltd.,Consumer Discretionary,Equity,1.0%
Kajaria Ceramics Ltd.,Construction,Equity,1.0%
Mahindra CIE Automotive Ltd.,Metals & Mining,Equity,1.0%
Astec Lifesciences Ltd.,Chemicals,Equity,1.0%
Grindwell Norton Ltd.,Metals & Mining,Equity,0.9%
Nesco Ltd.,Construction,Equity,0.9%
Birlasoft Ltd.,Technology,Equity,0.9%
Aarti Industries Ltd.,Chemicals,Equity,0.9%
Multi Commodity Exchange Of India Ltd.,Services,Equity,0.9%
Hawkins Cookers Ltd.,Consumer Discretionary,Equity,0.9%
TCI Express Ltd.,Services,Equity,0.9%
Whirlpool Of India Ltd.,Consumer Discretionary,Equity,0.9%
Rossari Biotech Ltd.,Chemicals,Equity,0.8%
Metropolis Healthcare Ltd.,Healthcare,Equity,0.8%
Ami Organics Ltd.,Healthcare,Equity,0.8%
Prudent Corporate Advisory Services Ltd.,Financial,Equity,0.8%
Sheela Foam Ltd.,Consumer Discretionary,Equity,0.8%
Coromandel International Ltd.,Chemicals,Equity,0.8%
Subros Ltd.,Automobile,Equity,0.8%
Escorts Kubota Ltd.,Automobile,Equity,0.8%
ISGEC Heavy Engineering Ltd.,Capital Goods,Equity,0.7%
Johnson Controls - Hitachi Air Conditioning India Ltd.,Consumer Discretionary,Equity,0.7%
Avanti Feeds Ltd.,Consumer Staples,Equity,0.6%
TD Power Systems Ltd.,Capital Goods,Equity,0.4%
KFin Technologies Ltd.,Financial,Equity,0.4%
Harsha Engineers International Ltd.,Capital Goods,Equity,0.2%
MOIL Ltd.,Metals & Mining,Equity,0.2%
Reserve Bank of India,Financial,T-Bills,0.1%
