Name,Sector,Instrument,Assets
Mahindra & Mahindra Ltd.,Automobile,Equity,13.6%
Maruti Suzuki India Ltd.,Automobile,Equity,13.2%
Eicher Motors Ltd.,Automobile,Equity,8.9%
Tata Motors Ltd.,Automobile,Equity,8.2%
Adani Ports and Special Economic Zone Ltd.,Services,Equity,7.0%
Bajaj Auto Ltd.,Automobile,Equity,7.0%
Ashok Leyland Ltd.,Automobile,Equity,4.3%
Hero Motocorp Ltd.,Automobile,Equity,3.7%
Apollo Tyres Ltd.,Automobile,Equity,3.1%
TVS Motor Company Ltd.,Automobile,Equity,2.8%
Interglobe Aviation Ltd.,Services,Equity,2.6%
Container Corporation Of India Ltd.,Services,Equity,2.0%
Bharat Forge Ltd.,Automobile,Equity,1.9%
Bosch Ltd.,Automobile,Equity,1.7%
Sundram Fasteners Ltd.,Capital Goods,Equity,1.6%
Schaeffler India Ltd.,Capital Goods,Equity,1.4%
Mahindra & Mahindra Financial Services Ltd.,Financial,Equity,1.4%
Mahindra Logistics Ltd.,Services,Equity,1.4%
Samvardhana Motherson International Ltd.,Automobile,Equity,1.3%
Minda Corporation Ltd.,Automobile,Equity,1.2%
Endurance Technologies Ltd.,Automobile,Equity,1.0%
Motherson Sumi Wiring India Ltd.,Automobile,Equity,1.0%
VRL Logistics Ltd.,Services,Equity,0.9%
Subros Ltd.,Automobile,Equity,0.9%
Jamna Auto Industries Ltd.,Automobile,Equity,0.8%
Mahindra CIE Automotive Ltd.,Metals & Mining,Equity,0.8%
Escorts Kubota Ltd.,Automobile,Equity,0.6%
MRF Ltd.,Automobile,Equity,0.6%
Gujarat Pipavav Port Ltd.,Services,Equity,0.5%
Sandhar Technologies Ltd.,Automobile,Equity,0.4%
Radiant Cash Management Services Ltd.,Financial,Equity,0.3%
Rane Holdings Ltd.,Financial,Equity,0.3%
Zomato Ltd.,Services,Equity,0.1%
Reserve Bank of India,Financial,T-Bills,0.1%
The Great Eastern Shipping Company Ltd.,Services,Equity,0.1%
