Name,Sector,Instrument,Assets
ICICI Bank Ltd.,Financial,Equity,9.0%
Housing Development Finance Corporation Ltd.,Financial,Equity,7.0%
Infosys Ltd.,Technology,Equity,6.4%
Reliance Industries Ltd.,Energy,Equity,4.9%
Nestle India Ltd.,Consumer Staples,Equity,4.8%
Titan Company Ltd.,Consumer Discretionary,Equity,3.9%
HDFC Bank Ltd.,Financial,Equity,3.5%
State Bank of India,Financial,Equity,3.3%
Maruti Suzuki India Ltd.,Automobile,Equity,3.2%
Hindustan Unilever Ltd.,Consumer Staples,Equity,3.0%
Asian Paints Ltd.,Chemicals,Equity,2.8%
Ambuja Cements Ltd.,Construction,Equity,2.7%
Cipla Ltd.,Healthcare,Equity,2.7%
Larsen & Toubro Ltd.,Construction,Equity,2.6%
Bajaj Finance Ltd.,Financial,Equity,2.2%
Axis Bank Ltd.,Financial,Equity,2.2%
Eicher Motors Ltd.,Automobile,Equity,1.9%
LTIMindtree Ltd.,Technology,Equity,1.8%
Kotak Mahindra Bank Ltd.,Financial,Equity,1.7%
Hindalco Industries Ltd.,Metals & Mining,Equity,1.7%
Bajaj Finserv Ltd.,Financial,Equity,1.5%
Cholamandalam Investment and Finance Company Ltd.,Financial,Equity,1.4%
Bharat Electronics Ltd.,Capital Goods,Equity,1.3%
Info Edge (India) Ltd.,Services,Equity,1.1%
HDFC Life Insurance Co Ltd.,Insurance,Equity,1.1%
Page Industries Ltd.,Textiles,Equity,1.1%
Tata Consultancy Services Ltd.,Technology,Equity,1.1%
Tata Steel Ltd.,Metals & Mining,Equity,1.0%
Varun Beverages Ltd.,Consumer Staples,Equity,0.9%
CG Power and Industrial Solutions Ltd.,Capital Goods,Equity,0.8%
Persistent Systems Ltd.,Technology,Equity,0.7%
Balkrishna Industries Ltd.,Automobile,Equity,0.7%
Coforge Ltd.,Technology,Equity,0.7%
Bharti Airtel Ltd.,Communication,Equity,0.7%
Navin Fluorine International Ltd.,Chemicals,Equity,0.7%
Grindwell Norton Ltd.,Metals & Mining,Equity,0.7%
Abbott India Ltd.,Healthcare,Equity,0.6%
Astral Ltd.,Chemicals,Equity,0.6%
HDFC Asset Management Company Ltd.,Financial,Equity,0.6%
Vedant Fashions Ltd.,Services,Equity,0.6%
Dixon Technologies (India) Ltd.,Capital Goods,Equity,0.6%
Syngene International Ltd.,Healthcare,Equity,0.6%
IIFL Finance Ltd.,Financial,Equity,0.6%
Sumitomo Chemical India Ltd.,Chemicals,Equity,0.6%
PI Industries Ltd.,Chemicals,Equity,0.5%
Power Grid Corporation Of India Ltd.,Energy,Equity,0.5%
Tube Investments Of India Ltd.,Automobile,Equity,0.5%
The Phoenix Mills Ltd.,Construction,Equity,0.4%
Gujarat Gas Ltd.,Energy,Equity,0.4%
Thermax Ltd.,Capital Goods,Equity,0.4%
3M India Ltd.,Diversified,Equity,0.4%
Mphasis Ltd.,Technology,Equity,0.4%
Dr. Lal Pathlabs Ltd.,Healthcare,Equity,0.4%
ABB India Ltd.,Capital Goods,Equity,0.4%
