0,1,2,3,4,5,6,7
1,Aimco Pesticides Ltd.,2.50,2.50,2.50,2.50,2.50,2.91
2,Alufluoride Ltd.,2.05,-,2.05,2.05,2.05,5.00
3,Daikaffil Chemicals India Ltd.,1.67,1.67,1.67,1.67,1.67,0.25
4,Elnet Technologies Ltd.,1.25,1.25,1.25,1.25,1.25,0.83
5,Facor Alloys Ltd.,1.28,1.28,1.28,1.28,1.28,1.89
6,Jagsonpal Pharmaceuticals Ltd.,1.16,1.18,1.18,1.18,1.18,10.08
7,Jauss Polymers Ltd.,2.16,2.16,2.16,2.16,2.16,0.04
8,Shivalik Bimetal Controls Ltd.,1.04,1.04,1.04,1.04,1.04,31.01
9,Sunshield Chemicals Ltd.,1.09,1.09,1.09,1.09,1.09,4.60
10,Tirupati Starch & Chemicals Ltd.,1.07,1.07,1.07,1.07,-,0
11,Tyche Industries Ltd.,1.46,1.46,1.46,1.46,1.46,2.30
12,Universal Starch-Chem Allied Ltd.,1.79,1.79,1.79,1.79,1.79,0.92
13,Ascensive Educare Ltd.,-,1.87,-,1.87,Filing Due,
14,AVI Polymers Ltd.,-,1.22,1.22,1.22,1.22,0.05
15,Natraj Proteins Ltd.,-,1.07,1.07,1.07,1.07,0.18
