0,1,2,3,4,5,6,7
1,Aditya Spinners Ltd.,3.34,3.34,3.34,3.34,Filing Due,1.11
2,Advance Metering Technology Ltd.,1.49,1.49,1.49,1.49,Filing Due,0.44
3,Advance Syntex Ltd.,-,2.48,2.48,2.48,Filing Due,0.20
4,Anjani Synthetics Ltd.,1.12,1.12,1.12,1.12,Filing Due,0.45
5,Ansal Buildwell Ltd.,1.60,1.61,1.62,1.62,Filing Due,0.88
6,Artefact Projects Ltd.,1.53,1.53,-,1.53,Filing Due,0.48
7,Ashok Alco-Chem Ltd.,2.17,2.17,2.17,2.17,Filing Due,0.89
8,Austin Engineering Company Ltd.,2.93,2.93,2.93,2.93,Filing Due,1.63
9,B&A Ltd.,2.26,2.26,2.26,2.26,2.26,1.74
10,Bansal Roofing Products Ltd.,1.00,1.00,1.00,1.00,Filing Due,0.87
11,Beardsell Ltd.,3.31,3.31,3.31,3.31,Filing Due,2.85
12,Benara Bearings And Pistons Ltd.,-,1.57,1.57,1.57,Filing Due,0.34
13,Bhagwati Autocast Ltd.,-,2.24,2.24,2.24,2.24,2.19
14,BN Rathi Securities Ltd.,4.15,4.15,4.15,4.15,Filing Due,1.27
15,BSL Ltd.,1.54,1.54,1.54,1.09,Filing Due,1.90
16,Chennai Meenakshi Multispeciality Hospital Ltd.,1.33,1.33,1.72,2.12,Filing Due,0.31
17,Citadel Realty & Developers Ltd.,1.19,1.19,1.19,-,Filing Due,0
18,Conart Engineers Ltd.,2.45,2.45,2.45,2.45,Filing Due,0.30
19,Cyber Media (India) Ltd.,-,-,1.50,1.50,Filing Due,0.38
20,Delton Cables Ltd.,2.82,2.82,2.82,2.82,Filing Due,1.73
21,Duke Offshore Ltd.,1.62,1.68,1.68,1.68,Filing Due,0.12
22,Duroply Industries Ltd.,1.04,1.04,-,-,Filing Due,0
23,Dynavision Ltd.,1.09,1.09,1.09,1.09,Filing Due,0.57
24,Envair Electrodyne Ltd.,1.04,1.04,1.04,1.04,Filing Due,0.35
25,Harish Textile Engineers Ltd.,1.90,1.90,1.90,1.90,Filing Due,0.21
26,Haryana Leather Chemicals Ltd.,3.04,3.04,3.04,3.26,Filing Due,0.63
27,Hisar Spinning Mills Ltd.,1.92,1.97,1.98,1.98,Filing Due,0.31
28,ICDS Ltd.,7.20,7.20,6.57,7.20,Filing Due,
29,IM+ Capitals Ltd.,2.27,2.27,2.27,2.27,Filing Due,3.36
30,Jain Irrigation Systems Ltd. (DVR),-,1.23,-,1.85,Filing Due,0
31,Jayabharat Credit Ltd.,1.44,1.44,1.44,1.44,Filing Due,0.06
32,Joindre Capital Services Ltd.,-,1.23,1.23,1.23,Filing Due,0.51
33,Kallam Textiles Ltd.,1.11,1.11,1.84,1.84,Filing Due,0.95
34,KPT Industries Ltd.,1.34,1.81,1.81,1.81,1.81,1.88
35,Lactose (India) Ltd.,1.18,1.18,1.18,1.18,Filing Due,0.61
36,Laffans Petrochemicals Ltd.,2.84,2.84,-,2.84,Filing Due,0.91
37,Lancor Holdings Ltd.,1.68,1.68,1.68,1.68,1.68,1.98
38,Martin Burn Ltd.,2.21,2.21,2.21,2.21,Filing Due,0.45
39,National Fittings Ltd.,1.25,1.25,1.25,1.25,Filing Due,0.70
40,Neelamalai Agro Industries Ltd.,1.31,-,-,-,Filing Due,0
