0,1,2,3,4,5,6,7
1,3M India Ltd.,1.48,1.48,-,1.48,Filing Due,388.94
2,Advani Hotels & Resorts (India) Ltd.,4.18,4.18,4.18,4.18,Filing Due,14.40
3,Andhra Paper Ltd.,1.26,1.26,1.26,1.26,Filing Due,21.54
4,Aptech Ltd.,3.04,3.03,3.03,3.03,Filing Due,51.61
5,Astra Microwave Products Ltd.,1.03,1.03,1.03,1.03,Filing Due,22.20
6,Avenue Supermarts Ltd.,74.98,67.53,67.53,67.53,Filing Due,"1,53,049.70"
7,BF Utilities Ltd.,1.28,1.28,1.28,1.01,Filing Due,12.03
8,Blue Dart Express Ltd.,1.40,1.40,1.40,1.29,Filing Due,191.37
9,Mangalam Organics Ltd.,2.17,2.17,2.17,2.17,Filing Due,6.59
10,Metropolis Healthcare Ltd.,1.14,1.05,1.07,-,Filing Due,0
11,Sundaram Finance Holdings Ltd.,1.88,1.88,1.88,1.88,Filing Due,34.62
12,Sundaram Finance Ltd.,2.37,2.37,2.37,2.37,Filing Due,623.68
13,The India Cements Ltd.,20.82,20.79,20.79,20.79,Filing Due,"1,209.31"
14,Trent Ltd.,1.52,1.52,1.52,1.52,Filing Due,738.78
15,United Breweries Ltd.,1.21,1.23,1.21,1.21,1.19,442.72
16,VST Industries Ltd.,32.34,32.34,32.34,30.71,Filing Due,"1,548.88"
