0,1,2,3,4,5,6,7
1,Agro Tech Foods Ltd.,8.22,8.22,8.22,8.22,8.22,179.08
2,Anant Raj Ltd.,3.39,3.39,3.39,3.09,-,0
3,Aptech Ltd.,43.89,43.80,43.78,43.78,43.76,745.31
4,Autoline Industries Ltd.,4.62,4.62,4.50,4.61,4.31,12.71
5,Bilcare Ltd.,8.48,8.48,8.48,-,7.37,8.25
6,CRISIL Ltd.,5.49,5.48,5.48,5.47,5.47,"1,328.86"
7,DB Realty Ltd.,2.06,2.06,1.93,1.46,1.46,37.64
8,Delta Corp Ltd.,7.49,7.48,-,-,-,0
9,Dishman Carbogen Amcis Ltd.,3.18,3.18,3.18,3.18,1.63,34.23
10,Edelweiss Financial Services Ltd.,1.60,1.60,1.60,1.50,1.52,78.43
11,Escorts Kubota Ltd.,5.22,-,1.39,1.39,1.39,343.22
12,Fortis Healthcare Ltd.,4.23,4.23,4.23,4.66,4.46,851.88
13,Geojit Financial Services Ltd.,7.55,7.55,7.54,7.54,8.38,86.96
14,Indiabulls Housing Finance Ltd.,1.08,1.28,1.17,-,-,0
15,Jubilant Ingrevia Ltd.,4.72,4.72,4.72,3.15,3.15,189.38
16,Jubilant Pharmova Ltd.,6.29,6.76,6.76,6.76,6.76,311.99
17,Karur Vysya Bank Ltd.,4.50,4.50,4.50,4.37,4.74,370.29
18,Man InfraConstruction Ltd.,1.21,1.21,1.21,1.21,-,0
19,Nazara Technologies Ltd.,10.10,10.10,10.03,10.02,10.00,363.00
20,NCC Ltd.,12.84,12.84,12.62,12.64,13.09,894.17
21,Orient Cement Ltd.,1.22,1.22,1.22,1.22,-,0
22,Prakash Pipes Ltd.,-,-,-,-,-,0
23,Prozone Intu Properties Ltd.,2.06,2.06,2.06,2.06,2.06,7.32
24,Rallis India Ltd.,9.81,9.81,9.81,9.36,10.30,402.91
25,Steel Authority Of India Ltd.,1.09,-,-,-,-,0
26,Tata Communications Ltd.,1.08,1.08,1.08,1.61,1.79,642.71
27,Tata Motors Ltd.,1.18,1.18,1.09,1.11,1.57,"2,282.13"
28,Tata Motors Ltd. - DVR Ordinary,3.93,2.95,2.95,1.40,1.97,0
29,The Federal Bank Ltd.,3.65,3.65,3.64,-,3.48,935.64
30,The Indian Hotels Company Ltd.,2.16,2.12,2.12,2.12,2.11,979.28
31,Titan Company Ltd.,5.09,5.05,5.05,5.54,5.17,"11,697.01"
32,TV18 Broadcast Ltd.,1.46,1.17,-,-,-,0
33,VA Tech Wabag Ltd.,8.04,8.04,8.04,8.04,8.04,178.35
34,Wockhardt Ltd.,2.26,2.08,2.08,2.08,2.08,48.22
35,Canara Bank,1.60,1.96,1.96,1.48,2.07,"1,068.56"
36,Indiabulls Real Estate Ltd.,1.10,1.10,-,-,-,0
37,National Aluminium Company Ltd.,1.36,1.36,-,-,-,0
38,Metro Brands Ltd.,14.43,14.43,14.43,14.43,14.40,
39,Star Health and Allied Insurance Company Ltd.,17.51,35.02,17.49,17.42,17.32,
40,Singer India Ltd.,-,-,-,7.91,7.91,39.12
