0,1,2,3,4,5,6,7
1,Abhinav Leasing & Finance Ltd.,0.34,0.34,0.34,0.34,0.34,0.03
2,Kamdhenu Ltd.,6.85,5.74,5.74,9.95,9.95,97.14
3,Oriental Trimex Ltd.,0.32,0.32,0.32,0.31,0.31,0.06
4,Padam Cotton Yarns Ltd.,1.55,1.55,1.55,1.55,1.55,0.13
5,Tridev InfraEstates Ltd.,5.11,5.11,5.11,5.11,5.11,0.06
6,Worldwide Aluminium Ltd.,0.03,0.03,0.03,0.03,0.03,0.00
7,Sarthak Metals Ltd.,2.34,2.34,2.34,2.34,2.34,5.72
8,Shri Niwas Leasing And Finance Ltd.,1.36,1.36,1.36,1.36,1.36,0.09
9,Bampsl Securities Ltd.,6.31,7.42,8.47,-,10.63,3.18
10,Mahamaya Investments Ltd.,8.35,7.68,7.68,7.68,7.68,0.51
11,SPV Global Trading Ltd.,-,-,5.97,5.97,5.97,
12,Touchwood Entertainment Ltd.,-,-,3.43,-,-,0
13,Tarini International Ltd.,-,-,-,1.02,Filing Due,0.07
