0,1,2,3,4,5,6,7
1,Benares Hotels Ltd.,1.58,1.58,1.58,1.58,Filing Due,6.70
2,Garware Technical Fibres Ltd.,1.17,1.17,1.17,1.14,Filing Due,67.79
3,Jayshree Chemicals Ltd.,2.93,2.93,2.93,2.93,Filing Due,0.51
4,Kandagiri Spinning Mills Ltd.,2.04,2.04,2.04,2.04,Filing Due,0.14
5,Ras Resorts & Apart Hotels Ltd.,2.79,2.79,2.79,2.79,Filing Due,0.32
6,Sambandam Spinning Mills Ltd.,3.20,3.20,3.20,3.20,3.20,1.82
7,Shri Dinesh Mills Ltd.,1.03,1.03,1.03,1.03,1.03,3.03
8,SIL Investments Ltd.,1.10,1.10,1.10,1.10,Filing Due,3.29
9,Sutlej Textiles And Industries Ltd.,1.10,1.10,1.10,1.10,Filing Due,7.94
10,WH Brady & Company Ltd.,1.56,1.56,1.56,1.56,Filing Due,1.03
